family,metric,ttft_threshold_ms,allocation,baseline,workload,rate,n,mean,sd,ci95_low,ci95_high,p_value,q_value_bh,q_value_bh_within_metric,cohen_dz,bh_significant_q05
primary_goodput,goodput_req_s,250.0,kv_only,full,random,30.0,3,-0.7121905223613053,0.14153988205367998,-1.0637950810875454,-0.3605859636350651,0.012911275345125263,0.0382936220424024,,-5.0317303648112555,True
primary_goodput,goodput_req_s,500.0,kv_only,full,random,30.0,3,-0.21788886428369972,0.002885257406112449,-0.22505624101433058,-0.21072148755306885,5.844397276944063e-05,0.0026299787746248285,,-75.51799843649992,True
primary_goodput,goodput_req_s,1000.0,kv_only,full,random,30.0,3,-0.21788886428369972,0.002885257406112449,-0.22505624101433058,-0.21072148755306885,5.844397276944063e-05,0.0026299787746248285,,-75.51799843649992,True
primary_goodput,goodput_req_s,2000.0,kv_only,full,random,30.0,3,-0.21788886428369972,0.002885257406112449,-0.22505624101433058,-0.21072148755306885,5.844397276944063e-05,0.0026299787746248285,,-75.51799843649992,True
primary_goodput,goodput_req_s,3000.0,kv_only,full,random,30.0,3,-0.21788886428369972,0.002885257406112449,-0.22505624101433058,-0.21072148755306885,5.844397276944063e-05,0.0026299787746248285,,-75.51799843649992,True
primary_goodput,goodput_req_s,250.0,state_only,full,random,30.0,3,-0.09532564482584978,0.0602155707051574,-0.24490941484909967,0.05425812519740013,0.1112481900553419,0.15403595546124263,,-1.5830730110091813,False
primary_goodput,goodput_req_s,500.0,state_only,full,random,30.0,3,-0.01325929432907813,0.012229310618694268,-0.04363858602568532,0.01711999736752906,0.20117907433996665,0.25501572803657746,,-1.0842225488008608,False
primary_goodput,goodput_req_s,1000.0,state_only,full,random,30.0,3,-0.01325929432907813,0.012229310618694268,-0.04363858602568532,0.01711999736752906,0.20117907433996665,0.25501572803657746,,-1.0842225488008608,False
primary_goodput,goodput_req_s,2000.0,state_only,full,random,30.0,3,-0.01325929432907813,0.012229310618694268,-0.04363858602568532,0.01711999736752906,0.20117907433996665,0.25501572803657746,,-1.0842225488008608,False
primary_goodput,goodput_req_s,3000.0,state_only,full,random,30.0,3,-0.01325929432907813,0.012229310618694268,-0.04363858602568532,0.01711999736752906,0.20117907433996665,0.25501572803657746,,-1.0842225488008608,False
primary_goodput,goodput_req_s,250.0,joint,full,random,30.0,3,-0.6412297523210183,0.21959711754087943,-1.1867392333959867,-0.09572027124604976,0.036940876950624896,0.06953874991208074,,-2.920028092817062,False
primary_goodput,goodput_req_s,500.0,joint,full,random,30.0,3,-0.19005287789782344,0.013319211615432775,-0.22313963376250304,-0.15696612203314383,0.0016331345848519536,0.015921576574052222,,-14.269078635075664,True
primary_goodput,goodput_req_s,1000.0,joint,full,random,30.0,3,-0.19005287789782344,0.013319211615432775,-0.22313963376250304,-0.15696612203314383,0.0016331345848519536,0.015921576574052222,,-14.269078635075664,True
primary_goodput,goodput_req_s,2000.0,joint,full,random,30.0,3,-0.19005287789782344,0.013319211615432775,-0.22313963376250304,-0.15696612203314383,0.0016331345848519536,0.015921576574052222,,-14.269078635075664,True
primary_goodput,goodput_req_s,3000.0,joint,full,random,30.0,3,-0.19005287789782344,0.013319211615432775,-0.22313963376250304,-0.15696612203314383,0.0016331345848519536,0.015921576574052222,,-14.269078635075664,True
primary_goodput,goodput_req_s,250.0,kv_only,full,random,35.0,3,-4.505292942606293,1.2738871814978505,-7.669804130680442,-1.3407817545321454,0.025629731190745162,0.060212815073560216,,-3.5366498760972855,False
primary_goodput,goodput_req_s,500.0,kv_only,full,random,35.0,3,-0.32104595782591855,0.11049972073019532,-0.5955424812296765,-0.04654943442216064,0.0372931749119144,0.06953874991208074,,-2.9054006263944254,False
primary_goodput,goodput_req_s,1000.0,kv_only,full,random,35.0,3,-0.2885342265933228,0.0842105441584,-0.49772481506422067,-0.0793436381224249,0.027238619717726703,0.060212815073560216,,-3.426343214818681,False
