family,metric,ttft_threshold_ms,allocation,baseline,workload,rate,n,mean,sd,ci95_low,ci95_high,p_value,q_value_bh,q_value_bh_within_metric,cohen_dz,bh_significant_q05
primary_goodput,goodput_req_s,250.0,kv_only,full,random,30.0,3,-0.3812059315824487,0.06889103452133045,-0.5523407484383795,-0.21007111472651788,0.010711808510183057,0.04102394748580745,,-5.533462143966171,True
primary_goodput,goodput_req_s,500.0,kv_only,full,random,30.0,3,-0.152611586887924,0.01879056013559703,-0.199289925945673,-0.10593324783017502,0.005015408846809172,0.02099473470757328,,-8.12171567992883,True
primary_goodput,goodput_req_s,1000.0,kv_only,full,random,30.0,3,-0.152611586887924,0.01879056013559703,-0.199289925945673,-0.10593324783017502,0.005015408846809172,0.02099473470757328,,-8.12171567992883,True
primary_goodput,goodput_req_s,2000.0,kv_only,full,random,30.0,3,-0.152611586887924,0.01879056013559703,-0.199289925945673,-0.10593324783017502,0.005015408846809172,0.02099473470757328,,-8.12171567992883,True
primary_goodput,goodput_req_s,3000.0,kv_only,full,random,30.0,3,-0.152611586887924,0.01879056013559703,-0.199289925945673,-0.10593324783017502,0.005015408846809172,0.02099473470757328,,-8.12171567992883,True
primary_goodput,goodput_req_s,250.0,state_only,full,random,30.0,3,-0.01762043853556487,0.07533287965930782,-0.20475768583200077,0.16951680876087105,0.7246080821215356,0.745311170182151,,-0.23390103518215583,False
primary_goodput,goodput_req_s,500.0,state_only,full,random,30.0,3,0.009750885921411859,0.0044673647577198085,-0.0013466633453842938,0.02084843518820801,0.06338709790901807,0.10467594150113076,,2.182693030507949,False
primary_goodput,goodput_req_s,1000.0,state_only,full,random,30.0,3,0.009750885921411859,0.0044673647577198085,-0.0013466633453842938,0.02084843518820801,0.06338709790901807,0.10467594150113076,,2.182693030507949,False
primary_goodput,goodput_req_s,2000.0,state_only,full,random,30.0,3,0.009750885921411859,0.0044673647577198085,-0.0013466633453842938,0.02084843518820801,0.06338709790901807,0.10467594150113076,,2.182693030507949,False
primary_goodput,goodput_req_s,3000.0,state_only,full,random,30.0,3,0.009750885921411859,0.0044673647577198085,-0.0013466633453842938,0.02084843518820801,0.06338709790901807,0.10467594150113076,,2.182693030507949,False
primary_goodput,goodput_req_s,250.0,joint,full,random,30.0,3,-1.3702271911549897,0.3813690796818619,-2.3176005040882197,-0.4228538782217599,0.02486272718330597,0.058120660947987984,,-3.5929163221570906,False
primary_goodput,goodput_req_s,500.0,joint,full,random,30.0,3,-0.24716304792735855,0.006823262676606862,-0.26411297205949613,-0.23021312379522094,0.00025393957658120217,0.005078791531624043,,-36.22358681496198,True
primary_goodput,goodput_req_s,1000.0,joint,full,random,30.0,3,-0.24716304792735855,0.006823262676606862,-0.26411297205949613,-0.23021312379522094,0.00025393957658120217,0.005078791531624043,,-36.22358681496198,True
primary_goodput,goodput_req_s,2000.0,joint,full,random,30.0,3,-0.24716304792735855,0.006823262676606862,-0.26411297205949613,-0.23021312379522094,0.00025393957658120217,0.005078791531624043,,-36.22358681496198,True
primary_goodput,goodput_req_s,3000.0,joint,full,random,30.0,3,-0.24716304792735855,0.006823262676606862,-0.26411297205949613,-0.23021312379522094,0.00025393957658120217,0.005078791531624043,,-36.22358681496198,True
primary_goodput,goodput_req_s,250.0,kv_only,full,random,35.0,3,-0.554494215210461,1.1312026869867509,-3.3645574695875533,2.255569039166631,0.4852856156644642,0.504921449824298,,-0.4901811333983823,False
primary_goodput,goodput_req_s,500.0,kv_only,full,random,35.0,3,-0.17946119033080285,0.029301935686711224,-0.252251233797445,-0.1066711468641607,0.008769763443439613,0.034316465648241964,,-6.124550686669845,True
primary_goodput,goodput_req_s,1000.0,kv_only,full,random,35.0,3,-0.190411038124644,0.021793520442935997,-0.24454914412874307,-0.13627293212054492,0.004338264066649401,0.020549671894655057,,-8.737048180132941,True
primary_goodput,goodput_req_s,2000.0,kv_only,full,random,35.0,3,-0.190411038124644,0.021793520442935997,-0.24454914412874307,-0.13627293212054492,0.004338264066649401,0.020549671894655057,,-8.737048180132941,True
primary_goodput,goodput_req_s,3000.0,kv_only,full,random,35.0,3,-0.190411038124644,0.021793520442935997,-0.24454914412874307,-0.13627293212054492,0.004338264066649401,0.020549671894655057,,-8.737048180132941,True
primary_goodput,goodput_req_s,250.0,state_only,full,random,35.0,3,1.9755845800596947,1.796220726803299,-2.486475066019967,6.437644226139357,0.19706766155244373,0.24130734067646173,,1.099856242932686,False
primary_goodput,goodput_req_s,500.0,state_only,full,random,35.0,3,0.02851172337864701,0.016589324852867293,-0.01269844410083763,0.06972189085813164,0.09674777010918705,0.1475813442343531,,1.7186789475473472,False
