bits,evict_budget,ppl,kv_quant_bytes,kv_fp16_bytes,time_s
2,0,20.638646343517173,3342336.0,25165824,24.803370237350464
2,512,29.67646569076376,835584.0,6291456,11.37453007698059
2,1024,23.45696164840304,1671168.0,12582912,14.618461608886719
2,1536,21.48430856836709,2506752.0,18874368,12.266514539718628
3,0,15.633012161298407,4816896.0,25165824,13.509581804275513
3,512,19.931191669700084,1204224.0,6291456,11.090937614440918
3,1024,16.544083464377323,2408448.0,12582912,11.317291736602783
3,1536,16.04968103834035,3612672.0,18874368,13.635236263275146
4,0,13.697483177682932,6389760.0,25165824,10.41468358039856
4,512,17.817473373376195,1597440.0,6291456,10.722541809082031
4,1024,14.772476420062779,3194880.0,12582912,11.260143756866455
4,1536,14.165013671253183,4792320.0,18874368,14.405948162078857
8,0,13.469205475476821,12681216.0,25165824,11.467874765396118
8,512,17.500928506003323,3170304.0,6291456,12.395161628723145
8,1024,14.508243825504769,6340608.0,12582912,10.632309436798096
8,1536,13.950553611796725,9510912.0,18874368,14.134153366088867
16,0,13.464566292393389,25165824,25165824,0.0
