label,ppl,kv_bytes,fp16_bytes,peak_mb,toks_per_sec,max_tokens_budget
fp16,13.625599982451032,25350168.0,25350144,4137.98656,467.26923733693627,323153.6769302673
4bit,13.862953340415824,6436560.0,25350144,4137.98656,649.8384859555634,1272729.5325453347
2bit,21.070842748232383,3366816.0,25350144,4137.98656,744.766085022556,2433159.4004543163
3bit,15.874604011598878,4852176.0,25350144,4137.98656,770.4874915747256,1688314.6860295257
sens_guided,14.625596178441786,4868680.0,25350144,4137.98656,747.4409764935325,1682591.585398917
